asset_id,asset_name,display_name,bbg_ticker,source_field,source,asset_class,sub_asset_class,country,region,dm_em_flag,commodity_category,sector_name,series_type,return_variant,currency,unit,is_active,notes
cmd_api2,API2,API2,API21MON OECM Index,PX_LAST,Bloomberg,Commodities,Benchmark,,,,"Energy - gas, LNG, coal",,commodity_benchmark_price,,USD,1t,True,Rebuilt from Assets_data.xlsx
cmd_aluminium,Aluminium,Aluminium,LOAHDY LME Comdty,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Base metals,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_asia_naphtha_fob_singapore_cargo_spot,Asia Naphtha FOB Singapore Cargo Spot,Asia Naphtha FOB Singapore Cargo Spot,NAPHSINF  Index,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Energy - crude oil & refined products,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_brent,Brent,Brent,CO1 Comdty,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Energy - crude oil & refined products,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_china_hrc,China HRC,China HRC,CDSPHRSH Index,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Ferrous / Steel chain,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_cobalt,Cobalt,Cobalt,LMCODY Comdty,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Base metals,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_copper,Copper,Copper,LMCADY LME Comdty,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Base metals,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_corn,Corn,Corn,c 1 comb comdty,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Agriculture,,commodity_benchmark_price,,USD,"0,01 bushels",True,Rebuilt from Assets_data.xlsx
cmd_dap_us_gulf_export_price,DAP US Gulf export price,DAP US Gulf export price,GCFPDANO Index,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Fertilizers,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_european_gasoil_0_1_fob_med_cargo_spot,European Gasoil 0.1% FOB Med Cargo Spot,European Gasoil 0.1% FOB Med Cargo Spot,HEATNCFM  Index,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Energy - crude oil & refined products,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_european_ulsd_10ppm_fob_med_cargo_spot,European ULSD 10ppm FOB Med Cargo Spot,European ULSD 10ppm FOB Med Cargo Spot,DIEN10MD  Index,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Energy - crude oil & refined products,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_fuel_oil_3_5_rotterdam_swap,"Fuel Oil 3,5% Rotterdam swap","Fuel Oil 3,5% Rotterdam swap",LW1 COMB Comdty,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Energy - crude oil & refined products,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_gold,Gold,Gold,XAU BGN Curncy,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Precious metals,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_hcc_fob_australia_swap_m1,HCC FOB Australia Swap M1,HCC FOB Australia Swap M1,HCCAM1 Index,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Ferrous / Steel chain,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_hrc_us,HRC US,HRC US,HRC1 Comdty,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Ferrous / Steel chain,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_henry_hub,Henry Hub,Henry Hub,NGA Comdty,PX_LAST,Bloomberg,Commodities,Benchmark,,,,"Energy - gas, LNG, coal",,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_iron_ore_62,Iron Ore 62%,Iron Ore 62%,ISIX62IU Index,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Ferrous / Steel chain,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_lng_australia_to_china,LNG Australia to China,LNG Australia to China,POTNACGP Index,PX_LAST,Bloomberg,Commodities,Benchmark,,,,"Energy - gas, LNG, coal",,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_lithium_lce,"Lithium, LCE","Lithium, LCE",L4CNMJGO AMTL Index,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Base metals,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_newc_index,NEWC index,NEWC index,XW1 Comdty,PX_LAST,Bloomberg,Commodities,Benchmark,,,,"Energy - gas, LNG, coal",,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_nickel_lme,Nickel LME,Nickel LME,LMNIDS03 Comdty,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Base metals,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_palladium,Palladium,Palladium,XPD BGN Curncy,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Precious metals,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_platinum,Platinum,Platinum,XPT BGN Curncy,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Precious metals,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_potash_brazil_cfr,Potash Brazil CFR,Potash Brazil CFR,GCFPPGBZ Index,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Fertilizers,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_soy,SOY,SOY,S 1 comb comdty,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Agriculture,,commodity_benchmark_price,,USD,"0,01 bushels",True,Rebuilt from Assets_data.xlsx
cmd_silver,Silver,Silver,XAG BGN Curncy,PX_LAST,Bloomberg,Commodities,Benchmark,,,,Precious metals,,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
cmd_ttf_spot,TTF spot,TTF spot,TTFG1MON OECM Index,PX_LAST,Bloomberg,Commodities,Benchmark,,,,"Energy - gas, LNG, coal",,commodity_benchmark_price,,USD,,True,Rebuilt from Assets_data.xlsx
